WG-1	WG-1.bml
REAGEREN	REAGEREN-CL{MONDELING}.sigml
REALISEREN	REALISEREN.sigml
RECEPT	RECEPT.sigml
RECHTBANK	RECHTBANK.sigml
RECHTER	RECHTER.sigml
RECHTS	RECHTS.sigml
RECHT_HEBBEN_OP	RECHT_HEBBEN_OP-SQ.sigml
RECLAME	RECLAME.sigml
REDDEN	REDDEN.sigml
REGEL	REGEL.sigml
REGELEN	REGELEN.sigml
REGELMATIG	REGELMATIG.sigml
REGEN	REGEN.sigml
REGENBOOG	REGENBOOG.sigml
REGENEN	REGENEN.sigml
REGENPLAS	REGENPLAS.sigml
REGERING	REGERING.sigml
REIS	REIS.sigml
REIZEN	REIZEN.sigml
REKENEN	REKENEN.sigml
REKENING_HOUDEN	REKENING_HOUDEN-SQ.sigml
RELATIE	RELATIE-AM{ROMANTISCH}.sigml
RELATIE	RELATIE-AM{ZAKELIJK}.sigml
RELATIE	RELATIE.sigml
REMMEN	REMMEN.sigml
RENNEN	RENNEN.sigml
REPAREREN	REPAREREN.sigml
REPETEREN	REPETEREN.sigml
RESERVEREN	RESERVEREN.sigml
RESPECT	RESPECT.sigml
RESPECTEREN	RESPECTEREN.sigml
REST	REST-AM{ETEN}.sigml
RESTAURANT	RESTAURANT.sigml
RESULTAAT	RESULTAAT.sigml
REUS	REUS.sigml
REVALIDATIE	REVALIDATIE.sigml
RIDDER	RIDDER.sigml
RIEM	RIEM.sigml
RIET	RIET.sigml
RIJ	RIJ.sigml
RIJDEN	RIJDEN.sigml
RIJK	RIJK.sigml
RIJLES	RIJLES.sigml
RIJP	RIJP.sigml
RIJST	RIJST.sigml
RING	RING.sigml
RITS	RITS.sigml
RIVIER	RIVIER.sigml
ROEPEN	ROEPEN-DI{1_3A}.sigml
ROEPEN	ROEPEN-DI{1_3B}.sigml
ROEPEN	ROEPEN-DI{2_1}.sigml
ROEPEN	ROEPEN-DI{2_3A}.sigml
ROEPEN	ROEPEN-DI{2_3B}.sigml
ROEPEN	ROEPEN.sigml
ROEREN	ROEREN.sigml
ROGGEBROOD	ROGGEBROOD.sigml
ROK	ROK.sigml
ROKEN	ROKEN.sigml
ROLLEN	ROLLEN-CL{BAL}.sigml
ROLSCHAATSEN	ROLSCHAATSEN.sigml
ROMMEL	ROMMEL.sigml
ROND	ROND-AM{TIJD}.sigml
ROOD	ROOD.sigml
ROOS	ROOS.sigml
ROSE	ROSE.sigml
ROTTERDAM	ROTTERDAM.sigml
ROZE	ROZE.sigml
RR	RR-SP.sigml
RUBBER	RUBBER.sigml
RUG	RUG.sigml
RUGZAK	RUGZAK.sigml
RUIKEN	RUIKEN.sigml
RUILEN	RUILEN.sigml
RUIMTE	RUIMTE-AM{OMGEVING}.sigml
RUNDVLEES	RUNDVLEES.sigml
RUST	RUST.sigml
RUSTGEBAAR	RUSTGEBAAR.sigml
RUZIE	RUZIE.sigml
S	S-SP.sigml
SALARIS	SALARIS.sigml
SAMEN	SAMEN.sigml
SAMENVATTEN	SAMENVATTEN.sigml
SAMENVATTING	SAMENVATTING.sigml
SAMENWERKEN	SAMENWERKEN.sigml
SAMENWONEN	SAMENWONEN-AM{HUISGENOTEN}.sigml
SAMENWONEN	SAMENWONEN-AM{RELATIE}.sigml
SAUS	SAUS.sigml
SCAN	SCAN.sigml
SCHAAFWOND	SCHAAFWOND.sigml
SCHAAL	SCHAAL.sigml
SCHAAP	SCHAAP.sigml
SCHAAR	SCHAAR.sigml
SCHAATSEN	SCHAATSEN.sigml
SCHADUW	SCHADUW.sigml
SCHAKEN	SCHAKEN.sigml
SCHAMEN	SCHAMEN.sigml
SCHATTEN	SCHATTEN.sigml
SCHEET	SCHEET.sigml
SCHEIDEN	SCHEIDEN.sigml
SCHELDEN	SCHELDEN.sigml
SCHELP	SCHELP.sigml
SCHEP	SCHEP.sigml
SCHEPPEN	SCHEPPEN.sigml
SCHEREN	SCHEREN-CL{APPARAAT}.sigml
SCHEREN	SCHEREN-CL{HAND}.sigml
SCHERP	SCHERP-AM{ETEN}.sigml
SCHERP	SCHERP.sigml
SCHEUR	SCHEUR.sigml
SCHEUREN	SCHEUREN.sigml
SCHIETEN	SCHIETEN-CL{DOELPUNT}.sigml
SCHIETEN	SCHIETEN-CL{WAPEN}.sigml
SCHIJNEN	SCHIJNEN-CL{LAMP}.sigml
SCHIJNEN	SCHIJNEN-CL{ZON}.sigml
SCHIJT_HEBBEN_AAN	SCHIJT_HEBBEN_AAN-SQ.sigml
SCHILDEREN	SCHILDEREN.sigml
SCHILDERIJ	SCHILDERIJ.sigml
SCHILDKLIER	SCHILDKLIER.sigml
SCHILLEN	SCHILLEN.sigml
SCHIPHOL	SCHIPHOL.sigml
SCHITTEREN	SCHITTEREN.sigml
SCHITTEREND	SCHITTEREND.sigml
SCHOEN	SCHOEN.sigml
SCHOMMEL	SCHOMMEL.sigml
SCHOMMELEN	SCHOMMELEN.sigml
SCHOOL	SCHOOL-AM{SLECHTHORENDE}.sigml
SCHOOL	SCHOOL.sigml
SCHOOLARTS	SCHOOLARTS.sigml
SCHOOLBORD	SCHOOLBORD.sigml
SCHOOLREISJE	SCHOOLREISJE.sigml
SCHOOLTAS	SCHOOLTAS.sigml
SCHOON	SCHOON.sigml
SCHOONDOCHTER	SCHOONDOCHTER.sigml
SCHOONMOEDER	SCHOONMOEDER.sigml
SCHOONVADER	SCHOONVADER.sigml
SCHOONZOON	SCHOONZOON.sigml
SCHOONZUS	SCHOONZUS.sigml
SCHOORSTEEN	SCHOORSTEEN.sigml
SCHOPPEN	SCHOPPEN.sigml
SCHOUDER	SCHOUDER.sigml
SCHREEUWEN	SCHREEUWEN.sigml
SCHRIFT	SCHRIFT.sigml
SCHRIJFTOLK	SCHRIJFTOLK.sigml
SCHRIJVEN	SCHRIJVEN.sigml
SCHRIKKEN	SCHRIKKEN.sigml
SCHUDDEN	SCHUDDEN.sigml
SCHUIM	SCHUIM.sigml
SCHULD	SCHULD.sigml
SCHULDIG	SCHULDIG.sigml
SCHUUR	SCHUUR.sigml
SEIZOEN	SEIZOEN.sigml
SEPTEMBER	SEPTEMBER.sigml
SERIEUS	SERIEUS.sigml
SERVET	SERVET.sigml
SESAMSTRAAT	SESAMSTRAAT.sigml
SHAMPOO	SHAMPOO.sigml
SHOW	SHOW.sigml
SIGAAR	SIGAAR.sigml
SIGARET	SIGARET.sigml
SIMPEL	SIMPEL.sigml
SINTERKLAAS	SINTERKLAAS.sigml
SINT_MAARTEN	SINT_MAARTEN-SQ.sigml
SINT_MICHIELSGESTEL	SINT_MICHIELSGESTEL-SQ.sigml
SITUATIE	SITUATIE.sigml
SJAAL	SJAAL.sigml
SKATE	SKATE.sigml
SKATEBOARD	SKATEBOARD.sigml
SKATEBOARDEN	SKATEBOARDEN.sigml
SKEELER	SKEELER.sigml
SKELTER	SKELTER.sigml
SLA	SLA.sigml
SLAAN	SLAAN.sigml
SLAAPKAMER	SLAAPKAMER.sigml
SLAAP_LEKKER	SLAAP_LEKKER-SQ.sigml
SLAGER	SLAGER.sigml
SLAGROOM	SLAGROOM.sigml
SLANK	SLANK.sigml
SLAPEN	SLAPEN.sigml
SLECHT	SLECHT.sigml
SLECHTHOREND	SLECHTHOREND.sigml
SLEE	SLEE.sigml
SLEPEN	SLEPEN.sigml
SLEUTEL	SLEUTEL.sigml
SLIKKEN	SLIKKEN.sigml
SLIM	SLIM.sigml
SLOOM	SLOOM.sigml
SLOOT	SLOOT.sigml
SLORDIG	SLORDIG.sigml
SLOT	SLOT.sigml
SMAKELIJK	SMAKELIJK.sigml
SNAPPEN	SNAPPEN.sigml
SNEL	SNEL.sigml
SOMS	SOMS.sigml
SORRY	SORRY.sigml
SPANNEND	SPANNEND.sigml
SPAREN	SPAREN.sigml
SPECIAAL	SPECIAAL.sigml
SPEL	SPEL.sigml
SPELEN	SPELEN.sigml
SPORT	SPORT.sigml
SPRINGEN	SPRINGEN-CL{KIKKER}.sigml
SPRINGEN	SPRINGEN-CL{PAARD}.sigml
SS	SS-SP.sigml
STANDAARD_POSE	STANDAARD_POSE-GR.sigml
STEKEND	STEKEND.sigml
STER	STER.sigml
STERK	STERK.sigml
STICHTING	STICHTING.sigml
STOEL	STOEL.sigml
STOP	STOP.sigml
STRAAT	STRAAT.sigml
STRAKS	STRAKS.sigml
STREVEN	STREVEN.sigml
STUDENT	STUDENT.sigml
STUK	STUK.sigml
T	T-SP.sigml
TAAL	TAAL.sigml
TABLET	TABLET.sigml
TABLETTEN	TABLETTEN.sigml
TAFEL	TAFEL.sigml
TAS	TAS.sigml
TECHNIEK	TECHNIEK.sigml
TEGEN	TEGEN.sigml
TEGENOVER	TEGENOVER.sigml
TEKST	TEKST.sigml
TELEURGESTELD	TELEURGESTELD.sigml
TELEVISIE	TELEVISIE.sigml
TELWOORDEN	TELWOORDEN.sigml
TEL_1	TEL_1-GR.sigml
TEL_2	TEL_2-GR.sigml
TEL_3	TEL_3-GR.sigml
TEL_4	TEL_4-GR.sigml
TEL_5	TEL_5-GR.sigml
TERUG	TERUG.sigml
TEST	TEST.sigml
TE_MAKEN_MET	TE_MAKEN_MET-SQ.sigml
THEE	THEE.sigml
THUIS	THUIS.sigml
TIEN_UUR	TIEN_UUR-AM{TIJDSDUUR}.sigml
TIEN_UUR	TIEN_UUR-AM{TIJDSTIP}.sigml
TIJD	TIJD.sigml
TIJDSTIP	TIJDSTIP.sigml
TIJD_GELEDEN	TIJD_GELEDEN-SQ.sigml
TIJD_HEBBEN	TIJD_HEBBEN-AM{NEGATIE}-SQ.sigml
TIJD_HEBBEN	TIJD_HEBBEN-SQ.sigml
TIKKEN	TIKKEN.sigml
TOCH	TOCH.sigml
TOET	TOET.sigml
TOE_MAAR	TOE_MAAR-AM{NAAR_RECHTS}.sigml
TOE_MAAR	TOE_MAAR-SQ.sigml
TOLK	TOLK.sigml
TOT	TOT.sigml
TOT_NU_TOE	TOT_NU_TOE-SQ.sigml
TOT_ZIENS	TOT_ZIENS-SQ.sigml
TREIN	TREIN.sigml
TROEP	TROEP.sigml
TROUWEN	TROUWEN.sigml
TT	TT-SP.sigml
TUSSEN	TUSSEN.sigml
TWEEDE	TWEEDE.sigml
TWEE_UUR	TWEE_UUR-AM{TIJDSDUUR}.sigml
TWEE_UUR	TWEE_UUR-AM{TIJDSTIP}.sigml
TWIJFELEN	TWIJFELEN.sigml
U	U-SP.sigml
U	U.sigml
UITADEMEN	UITADEMEN.sigml
UITBLAZEN	UITBLAZEN-AM{ADEM}.sigml
UITBLAZEN	UITBLAZEN-AM{KAARS}.sigml
UITDOEN	UITDOEN-CL{LAMP}.sigml
UITGAAN	UITGAAN.sigml
UITGEVEN	UITGEVEN-CL{BOEK}.sigml
UITLEG	UITLEG.sigml
UITLEGGEN	UITLEGGEN.sigml
UITPAKKEN	UITPAKKEN.sigml
UITSLAG	UITSLAG.sigml
UITSLAGEN	UITSLAGEN.sigml
UIT_ELKAAR_GAAN	UIT_ELKAAR_GAAN-SQ.sigml
UTRECHT	UTRECHT.sigml
UU	UU-SP.sigml
UUR	UUR.sigml
V	V-SP.sigml
VAAG	VAAG.sigml
VAAK	VAAK.sigml
VAARDIGHEID	VAARDIGHEID.sigml
VAAS	VAAS.sigml
VADER	VADER.sigml
VAGINA	VAGINA.sigml
VAK	VAK-AM{POSTVAK}.sigml
VAK	VAK-AM{SCHOOLVAK}.sigml
VAK	VAK-AM{WINKEL}.sigml
VAKANTIE	VAKANTIE.sigml
VALLEN	VALLEN.sigml
VAN	VAN-CL{JOU}.sigml
VAN	VAN-CL{MIJ}.sigml
VAN	VAN.sigml
VANAF	VANAF.sigml
VANAVOND	VANAVOND.sigml
VANDAAG	VANDAAG.sigml
VANDAAR	VANDAAR.sigml
VANGEN	VANGEN.sigml
VANMIDDAG	VANMIDDAG.sigml
VANOCHTEND	VANOCHTEND.sigml
VANZELF	VANZELF.sigml
VANZELFSPREKEND	VANZELFSPREKEND.sigml
VAN_REPLIEK_DIENEN	VAN_REPLIEK_DIENEN-SQ.sigml
VAREN	VAREN.sigml
VARKEN	VARKEN.sigml
VARKENSVLEES	VARKENSVLEES.sigml
VAST	VAST-AM{ONVERANDERLIJK}.sigml
VASTBINDEN	VASTBINDEN.sigml
VASTEN	VASTEN.sigml
VASTENPERIODE	VASTENPERIODE.sigml
VASTHOUDEN	VASTHOUDEN.sigml
VASTLEGGEN_OP_PAPIER	VASTLEGGEN_OP_PAPIER-SQ.sigml
VASTSTELLEN	VASTSTELLEN.sigml
VECHTEN	VECHTEN.sigml
VEEL	VEEL.sigml
VEEL_VERSTAND_HEBBEN	VEEL_VERSTAND_HEBBEN-SQ.sigml
VEGANISTISCH	VEGANISTISCH.sigml
VEGEN	VEGEN-CL{BEZEM}.sigml
VEGEN	VEGEN-CL{STOFFER_EN_BLIK}.sigml
VEGETARISCH	VEGETARISCH.sigml
VEILIG	VEILIG.sigml
VELD	VELD.sigml
VENSTERBANK	VENSTERBANK.sigml
VER	VER-AM{WEG}.sigml
VERANDEREN	VERANDEREN.sigml
VERANDERING	VERANDERING.sigml
VERANTWOORDELIJK	VERANTWOORDELIJK.sigml
VERBAND	VERBAND.sigml
VERBERGEN	VERBERGEN.sigml
VERBETERD	VERBETERD.sigml
VERBETEREN	VERBETEREN.sigml
VERBINDEN	VERBINDEN.sigml
VERBLIJF	VERBLIJF.sigml
VERBODEN	VERBODEN.sigml
VERBRANDEN	VERBRANDEN.sigml
VERDELEN	VERDELEN.sigml
VERDELING	VERDELING.sigml
VERDER	VERDER-AM{AFSTAND}.sigml
VERDER	VERDER.sigml
VERDIENEN	VERDIENEN-CL{GELD}.sigml
VERDOEZELEN	VERDOEZELEN.sigml
VERDOVEN	VERDOVEN.sigml
VERDOVING	VERDOVING.sigml
VERDRIETIG	VERDRIETIG.sigml
VERENIGING	VERENIGING.sigml
VERF	VERF.sigml
VERGADERING	VERGADERING.sigml
VERGELIJKEN	VERGELIJKEN.sigml
VERGETEN	VERGETEN.sigml
VERGISSEN	VERGISSEN.sigml
VERGISSING	VERGISSING.sigml
VERHAAL	VERHAAL.sigml
VERHEUGEN	VERHEUGEN.sigml
VERHOGEN	VERHOGEN.sigml
VERHOGING	VERHOGING.sigml
VERHOUDING	VERHOUDING.sigml
VERHUIZEN	VERHUIZEN.sigml
VERHUREN	VERHUREN.sigml
VERJAARDAG	VERJAARDAG.sigml
VERJAARDAGSFEEST	VERJAARDAGSFEEST.sigml
VERKEER	VERKEER.sigml
VERKEERD	VERKEERD.sigml
VERKERING	VERKERING.sigml
VERKIEZING	VERKIEZING.sigml
VERKLAPPEN	VERKLAPPEN.sigml
VERKLAREN	VERKLAREN.sigml
VERKLARING	VERKLARING-AM{BEWIJS}.sigml
VERKLARING	VERKLARING-AM{UITLEG}.sigml
VERKLEDEN	VERKLEDEN.sigml
VERKOPEN	VERKOPEN.sigml
VERKOUDEN	VERKOUDEN.sigml
VERLANGEN	VERLANGEN.sigml
VERLANGLIJST	VERLANGLIJST.sigml
VERLATEN	VERLATEN.sigml
VERLEDEN	VERLEDEN.sigml
VERLEGEN	VERLEGEN.sigml
VERLENEN	VERLENEN.sigml
VERLENING	VERLENING.sigml
VERLIEFD	VERLIEFD.sigml
VERLIEZEN	VERLIEZEN-CL{VOORWERP}.sigml
VERLIEZEN	VERLIEZEN-CL{WEDSTRIJD}.sigml
VERMENIGVULDIGEN	VERMENIGVULDIGEN.sigml
VERMOEDEN	VERMOEDEN.sigml
VERONTSCHULDIGEN	VERONTSCHULDIGEN.sigml
VERPLEEGKUNDIGE	VERPLEEGKUNDIGE.sigml
VERPLEEGSTER	VERPLEEGSTER.sigml
VERPLEGEN	VERPLEGEN.sigml
VERRADEN	VERRADEN.sigml
VERRASSING	VERRASSING.sigml
VERSCHEIDENE	VERSCHEIDENE.sigml
VERSCHIJNEN	VERSCHIJNEN-CL{BEELD_OP_TV}.sigml
VERSCHIJNEN	VERSCHIJNEN-CL{PERSOON}.sigml
VERSCHIL	VERSCHIL.sigml
VERSCHILLEN	VERSCHILLEN.sigml
VERSCHILLEND	VERSCHILLEND.sigml
VERSCHILLENDE	VERSCHILLENDE.sigml
VERSIEREN	VERSIEREN-CL{IEMAND}.sigml
VERSIEREN	VERSIEREN-CL{IETS}.sigml
VERSLAAN	VERSLAAN.sigml
VERSLECHTERD	VERSLECHTERD.sigml
VERSTAND	VERSTAND.sigml
VERSTANDIG	VERSTANDIG.sigml
VERSTERKEN	VERSTERKEN.sigml
VERSTOPPEN	VERSTOPPEN.sigml
VERSTOPPER	VERSTOPPER.sigml
VERSTOPPERTJE	VERSTOPPERTJE.sigml
VERTALEN	VERTALEN.sigml
VERTALING	VERTALING.sigml
VERTE	VERTE.sigml
VERTEGENWOORDIGER	VERTEGENWOORDIGER.sigml
VERTELLEN	VERTELLEN-DI{2_1}.sigml
VERTELLEN	VERTELLEN.sigml
VERTRAAGD	VERTRAAGD.sigml
VERTRAGING	VERTRAGING.sigml
VERTREKKEN	VERTREKKEN.sigml
VERTROUWD	VERTROUWD.sigml
VERTROUWEN	VERTROUWEN.sigml
VERVANGEN	VERVANGEN.sigml
VERVELEN	VERVELEN.sigml
VERVELEND	VERVELEND.sigml
VERVEN	VERVEN.sigml
VERVOER	VERVOER.sigml
VERVOLG	VERVOLG.sigml
VERVUILING	VERVUILING.sigml
VERVULLEN	VERVULLEN-AM{WENS}.sigml
VERWAAND	VERWAAND.sigml
VERWACHTEN	VERWACHTEN.sigml
VERWARD	VERWARD.sigml
VERWARMING	VERWARMING.sigml
VERWENNEN	VERWENNEN.sigml
VERWIJDEREN	VERWIJDEREN-CL{ORGAAN}.sigml
VERWIJDEREN	VERWIJDEREN.sigml
VERZAMELEN	VERZAMELEN-CL{PERSONEN}.sigml
VERZAMELEN	VERZAMELEN-CL{SPULLEN}.sigml
VERZEKERD	VERZEKERD.sigml
VERZEKERING	VERZEKERING.sigml
VERZET	VERZET.sigml
VERZETTEN	VERZETTEN-AM{TIJD}.sigml
VERZINNEN	VERZINNEN.sigml
VERZOEK	VERZOEK.sigml
VERZORGEN	VERZORGEN.sigml
VETER	VETER.sigml
VIA	VIA.sigml
VIDEO	VIDEO.sigml
VIDEOBAND	VIDEOBAND.sigml
VIDEOBELLEN	VIDEOBELLEN.sigml
VIDEOCAMERA	VIDEOCAMERA.sigml
VIDEOFILM	VIDEOFILM.sigml
VIDEORECORDER	VIDEORECORDER.sigml
VIERKANT	VIERKANT.sigml
VIERKANTE_METER	VIERKANTE_METER-SQ.sigml
VIER_UUR	VIER_UUR-AM{TIJDSDUUR}.sigml
VIER_UUR	VIER_UUR-AM{TIJDSTIP}.sigml
VIES	VIES.sigml
VIJAND	VIJAND.sigml
VIJF_UUR	VIJF_UUR-AM{TIJDSDUUR}.sigml
VIJF_UUR	VIJF_UUR-AM{TIJDSTIP}.sigml
VIJVER	VIJVER.sigml
VINDEN	VINDEN.sigml
VINGER	VINGER.sigml
VINGERORIENTATIE	VINGERORIENTATIE.sigml
VINGERSPELLEN	VINGERSPELLEN.sigml
VINGERSPELLING	VINGERSPELLING.sigml
VIRUS	VIRUS.sigml
VIS	VIS-AM{DIER}.sigml
VIS	VIS-AM{ETEN}.sigml
VISSEN	VISSEN.sigml
VLA	VLA.sigml
VLAG	VLAG.sigml
VLAK	VLAK.sigml
VLEES	VLEES.sigml
VLEK	VLEK.sigml
VLIEG	VLIEG.sigml
VLIEGEN	VLIEGEN-CL{DIEREN}.sigml
VLIEGEN	VLIEGEN-CL{VLIEGTUIG}.sigml
VLIEGER	VLIEGER.sigml
VLIEGEREN	VLIEGEREN.sigml
VLIEGTUIG	VLIEGTUIG.sigml
VLIEGVELD	VLIEGVELD.sigml
VLINDER	VLINDER.sigml
VLOER	VLOER.sigml
VLUCHTEN	VLUCHTEN.sigml
VLUG	VLUG.sigml
VOCHT	VOCHT.sigml
VOELEN	VOELEN.sigml
VOER	VOER.sigml
VOEREN	VOEREN-CL{DIEREN}.sigml
VOEREN	VOEREN-CL{KIND}.sigml
VOETBAL	VOETBAL.sigml
VOETBALLEN	VOETBALLEN.sigml
VOETEN	VOETEN.sigml
VOGEL	VOGEL.sigml
VOL	VOL-AM{PERSOON}.sigml
VOLDAAN	VOLDAAN.sigml
VOLGEN	VOLGEN-AM{ACHTERVOLGEN}.sigml
VOLGEN	VOLGEN-AM{OPLEIDING}.sigml
VOLGENDE	VOLGENDE.sigml
VOLGENS	VOLGENS.sigml
VOLGORDE	VOLGORDE.sigml
VOLHOUDEN	VOLHOUDEN.sigml
VOLK	VOLK.sigml
VOLLEDIG	VOLLEDIG.sigml
VOLWASSENE	VOLWASSENE.sigml
VOOR	VOOR-AM{DOEL}.sigml
VOOR	VOOR-AM{PLAATS}.sigml
VOOR	VOOR-AM{TIJD}.sigml
VOORAL	VOORAL.sigml
VOORBEELD	VOORBEELD.sigml
VOORBIJ	VOORBIJ.sigml
VOORDEEL	VOORDEEL.sigml
VOORKOMEN	VOORKOMEN.sigml
VOORLEZEN	VOORLEZEN.sigml
VOORLOPIG	VOORLOPIG.sigml
VOORNAAM	VOORNAAM.sigml
VOORNAMELIJK	VOORNAMELIJK.sigml
VOORSTANDER	VOORSTANDER.sigml
VOORSTEL	VOORSTEL.sigml
VOORSTELLEN	VOORSTELLEN-CL{JEZELF}.sigml
VOORSTELLEN	VOORSTELLEN-CL{PERSOON}.sigml
VOORSTELLING	VOORSTELLING.sigml
VOORTDUREND	VOORTDUREND.sigml
VOORUIT	VOORUIT.sigml
VOORWERP	VOORWERP.sigml
VOORZICHTIG	VOORZICHTIG.sigml
VOOR_ELKAAR	VOOR_ELKAAR-SQ.sigml
VORIG	VORIG.sigml
VORIGE	VORIGE.sigml
VORK	VORK.sigml
VORM	VORM.sigml
VRAAG	VRAAG.sigml
VRACHTWAGEN	VRACHTWAGEN.sigml
VRAGEN	VRAGEN.sigml
VREDE	VREDE.sigml
VREEMD	VREEMD.sigml
VRESELIJK	VRESELIJK.sigml
VREUGDE	VREUGDE.sigml
VRIEND	VRIEND-AM{ROMANTISCH}.sigml
VRIEND	VRIEND-AM{VRIENDSCHAP}.sigml
VRIENDELIJK	VRIENDELIJK.sigml
VRIENDIN	VRIENDIN-AM{ROMANTISCH}.sigml
VRIENDIN	VRIENDIN-AM{VRIENDSCHAP}.sigml
VRIEZEN	VRIEZEN.sigml
VRIJ	VRIJ-AM{GEVANGENSCHAP}.sigml
VRIJDAG	VRIJDAG.sigml
VRIJEN	VRIJEN.sigml
VRIJE_TIJD	VRIJE_TIJD-SQ.sigml
VROEG	VROEG.sigml
VROEGER	VROEGER.sigml
VROLIJK	VROLIJK.sigml
VROUW	VROUW-AM{GESLACHT}.sigml
VROUW	VROUW-AM{PARTNER}.sigml
VRUCHTBAAR	VRUCHTBAAR.sigml
VRUCHTEN	VRUCHTEN.sigml
VUIL	VUIL.sigml
VUILCONTAINER	VUILCONTAINER.sigml
VUILNIS	VUILNIS.sigml
VUILNISZAK	VUILNISZAK.sigml
VUUR	VUUR.sigml
VUURTOREN	VUURTOREN.sigml
VUURWERK	VUURWERK.sigml
VV	VV-SP.sigml
W	W-SP.sigml
WAAIEN	WAAIEN.sigml
WAAR	WAAR.sigml
WAARDELOOS	WAARDELOOS.sigml
WAARDEREN	WAARDEREN.sigml
WAARDERING	WAARDERING.sigml
WAARHEID	WAARHEID.sigml
WAARMAKEN	WAARMAKEN.sigml
WAAROM	WAAROM.sigml
WAARSCHIJNLIJK	WAARSCHIJNLIJK.sigml
WAARSCHUWEN	WAARSCHUWEN.sigml
WAARVOOR	WAARVOOR.sigml
WACHTEN	WACHTEN.sigml
WACHTKAMER	WACHTKAMER.sigml
WAF	WAF.sigml
WAKKER	WAKKER.sigml
WANG	WANG.sigml
WANNEER	WANNEER.sigml
WANTEN	WANTEN.sigml
WARM	WARM.sigml
WASGOED	WASGOED.sigml
WASMACHINE	WASMACHINE.sigml
WASSEN	WASSEN-CL{KLEDING}.sigml
WASSEN	WASSEN-CL{PERSOON}.sigml
WASSEN	WASSEN.sigml
WASTAFEL	WASTAFEL.sigml
WAT	WAT.sigml
WATER	WATER.sigml
WATERVAL	WATERVAL.sigml
WC	WC-PAPIER.sigml
WC	WC.sigml
WEBPAGINA	WEBPAGINA.sigml
WEBSITE	WEBSITE.sigml
WEDSTRIJD	WEDSTRIJD.sigml
WEEGSCHAAL	WEEGSCHAAL.sigml
WEEK	WEEK.sigml
WEEKEND	WEEKEND.sigml
WEER	WEER.sigml
WEERWOORD	WEERWOORD.sigml
WEG	WEG.sigml
WEGBRENGEN	WEGBRENGEN.sigml
WEGEN	WEGEN.sigml
WEGGAAN	WEGGAAN.sigml
WEGTREKKEN	WEGTREKKEN.sigml
WEINIG	WEINIG.sigml
WEKEN	WEKEN.sigml
WEKKER	WEKKER.sigml
WELKE	WELKE-AM{VAN_DE_TWEE}.sigml
WELKE	WELKE.sigml
WELKOM	WELKOM.sigml
WENNEN	WENNEN.sigml
WENS	WENS.sigml
WENSEN	WENSEN.sigml
WERELD	WERELD.sigml
WERK	WERK.sigml
WERKEN	WERKEN.sigml
WERKLOOS	WERKLOOS.sigml
WERKWOORD	WERKWOORD.sigml
WESP	WESP.sigml
WEST	WEST.sigml
WETEN	WETEN.sigml
WIE	WIE.sigml
WIEBELEN	WIEBELEN.sigml
WIJ	WIJ-AM{TWEE}.sigml
WIJ	WIJ.sigml
WIJN	WIJN.sigml
WIJS	WIJS.sigml
WILD	WILD.sigml
WILLEM_ALEXANDER	WILLEM_ALEXANDER-SQ.sigml
WILLEN	WILLEN.sigml
WIND	WIND-AM{SCHEET}.sigml
WIND	WIND-AM{WEER}.sigml
WINKEL	WINKEL.sigml
WINKELWAGEN	WINKELWAGEN.sigml
WINNEN	WINNEN.sigml
WINTER	WINTER.sigml
WINTERJAS	WINTERJAS.sigml
WINTERSPORT	WINTERSPORT.sigml
WINTERTIJD	WINTERTIJD.sigml
WIP	WIP.sigml
WIPPEN	WIPPEN.sigml
WOEDEND	WOEDEND.sigml
WOELEN	WOELEN.sigml
WOENSDAG	WOENSDAG.sigml
WOLKEN	WOLKEN.sigml
WONEN	WONEN.sigml
WOONKAMER	WOONKAMER.sigml
WOORD	WOORD.sigml
WREED	WREED.sigml
WW	WW-SP.sigml
X	X-SP.sigml
Y	Y-SP.sigml
YOGHURT	YOGHURT.sigml
YY	YY-SP.sigml
Z	Z-SP.sigml
ZAAL	ZAAL.sigml
ZACHT	ZACHT.sigml
ZAK	ZAK.sigml
ZAKDOEK	ZAKDOEK.sigml
ZAKGELD	ZAKGELD.sigml
ZAKKEN	ZAKKEN.sigml
ZALF	ZALF.sigml
ZAND	ZAND.sigml
ZANDBAK	ZANDBAK.sigml
ZAT	ZAT.sigml
ZATERDAG	ZATERDAG.sigml
ZEBRA	ZEBRA.sigml
ZEBRAPAD	ZEBRAPAD.sigml
ZEE	ZEE.sigml
ZEEHOND	ZEEHOND.sigml
ZEELAND	ZEELAND.sigml
ZEEP	ZEEP.sigml
ZEESTER	ZEESTER.sigml
ZEGGEN	ZEGGEN.sigml
ZEILBOOT	ZEILBOOT.sigml
ZEKER	ZEKER.sigml
ZELF	ZELF.sigml
ZELFSTANDIG	ZELFSTANDIG.sigml
ZELFVERTROUWEN	ZELFVERTROUWEN.sigml
ZELF_WETEN	ZELF_WETEN-SQ.sigml
ZEMEN	ZEMEN.sigml
ZENUWACHTIG	ZENUWACHTIG.sigml
ZES_UUR	ZES_UUR-AM{TIJDSDUUR}.sigml
ZES_UUR	ZES_UUR-AM{TIJDSTIP}.sigml
ZEUREN	ZEUREN.sigml
ZEURPIET	ZEURPIET.sigml
ZEVEN_UUR	ZEVEN_UUR-AM{TIJDSDUUR}.sigml
